System,CarLike
Controller,Stanley_CTRL
dt,0.1
state_init,[-4.    2.    3.14]
Nactor,6
pred_step_size_multiplier,5.0
buffer_size,25
run_obj_struct,quadratic
R1_diag,"[100, 100, 10, 0, 0]"
R2_diag,"[1, 10, 1, 0, 0]"
Ncritic,25
gamma,0.9
critic_period_multiplier,1.0
critic_struct,quad-mix
actor_struct,quad-nomix
t [s],x [m],y [m],alpha [rad],run_obj,accum_obj,v [m/s],omega [rad/s]
0.0001,-4.0,2.0,3.14,2098.596,209.8596,-0.22000000000000003,-0.284
0.0011,-3.9998000523273216,1.9999996873284385,3.14005836281457,2098.4395860099667,419.70355860099664,-0.22000000000000003,-0.284
0.0111,-3.9976000539841925,1.9999970182634415,3.1407005210035357,2096.7194240940266,629.3755010103994,-0.22000000000000003,-0.284
0.0611,-3.9866000615073225,2.000004864151154,-3.139273995231223,2087.8503628751964,838.1605372979191,-0.22000000000000003,-0.284
0.1111,-3.9756001509223085,2.0000480286139775,-3.1360632042863954,2078.9077918904045,1046.0513164869594,1,5.820533677776231
0.16110000000000002,-4.02004980577045,2.0001054513050653,3.133278337057621,2114.296557096273,1257.4809721965867,1.0,2.84
